title,url,img_ref,star_count,review_count,price,is_free_shipping,shipping_price,limited_stock,additional_buy_options
TOSHIBA 43LF711U20 43-inch 4K Ultra HD Smart LED TV HDR - Fire TV Edition,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0677249DQMP719W3QDS&url=%2FTOSHIBA-43LF711U20-43-inch-Ultra-Smart%2Fdp%2FB07SB1BMM9%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dhd%2Btv%26qid%3D1585364494%26sr%3D8-1-spons%26psc%3D1&qualifier=1585364494&id=7491218165384443&widgetName=sp_atf,https://m.media-amazon.com/images/I/41erwwQzAnL._AC_UY500_QL65_ML3_.jpg,4.4,18734,$249.99,True,,,False
"Fire TV Stick streaming media player with Alexa built in, includes Alexa Voice Remote, HD, easy set-up, released 2019",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_2?ie=UTF8&adId=A032957537U7AAVZCBAQV&url=%2FFire-TV-Stick-with-Alexa-Voice-Remote%2Fdp%2FB0791TX5P5%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dhd%2Btv%26qid%3D1585364494%26sr%3D8-2-spons%26psc%3D1&qualifier=1585364494&id=7491218165384443&widgetName=sp_atf,https://m.media-amazon.com/images/I/51ZdmnHKukL._AC_UY654_QL65_ML3_.jpg,4.5,161404,$39.99,True,,,False
TCL 32S327 32-Inch 1080p Roku Smart LED TV (2018 Model),https://amazon.com/TCL-32S327-32-Inch-1080p-Smart/dp/B07F981R8M/ref=sr_1_3?dchild=1&keywords=hd+tv&qid=1585364494&sr=8-3,https://m.media-amazon.com/images/I/71Ut6ZxFbpL._AC_UY654_QL65_ML3_.jpg,4.5,10028,$149.99,True,,,False
Toshiba 32LF221U19 32-inch 720p HD Smart LED TV - Fire TV Edition,https://amazon.com/Toshiba-32LF221U19-32-inch-720p-Smart/dp/B07FPR6FMJ/ref=sr_1_4?dchild=1&keywords=hd+tv&qid=1585364494&sr=8-4,https://m.media-amazon.com/images/I/41Xq5BKakFL._AC_UY500_QL65_ML3_.jpg,4.4,18734,$149.99,True,,,False
TCL 50S425 50 inch 4K Smart LED Roku TV (2019),https://amazon.com/TCL-50S425-inch-Smart-Roku/dp/B07JK98NNQ/ref=sr_1_5?dchild=1&keywords=hd+tv&qid=1585364494&sr=8-5,https://m.media-amazon.com/images/I/71tN5cFBvFL._AC_UY654_QL65_ML3_.jpg,4.5,7566,$269.99,True,,,False
Samsung UN55RU7100FXZA Flat 55-Inch 4K UHD 7 Series Ultra HD Smart TV with HDR and Alexa Compatibility (2019 Model),https://amazon.com/Samsung-UN55RU7100FXZA-55-Inch-Ultra-Smart/dp/B07NC9J2M5/ref=sr_1_6?dchild=1&keywords=hd+tv&qid=1585364494&sr=8-6,https://m.media-amazon.com/images/I/81X8Sh4qhPL._AC_UY654_QL65_ML3_.jpg,4.6,7522,,False,,,True
LG Electronics 22LJ4540 22-Inch 1080p IPS LED TV (2017 Model),https://amazon.com/LG-Electronics-22LJ4540-22-Inch-Class/dp/B01N5KGXUX/ref=sr_1_7?dchild=1&keywords=hd+tv&qid=1585364494&sr=8-7,https://m.media-amazon.com/images/I/81NZaNRrvDL._AC_UY654_QL65_ML3_.jpg,4.4,1202,$126.90,True,,,True
"LG 43UM7300PUA Alexa Built-in 43"" 4K Ultra HD Smart LED TV (2019)",https://amazon.com/LG-43UM7300PUA-Alexa-Built-Ultra/dp/B07PQ96ZJN/ref=sr_1_8?dchild=1&keywords=hd+tv&qid=1585364494&sr=8-8,https://m.media-amazon.com/images/I/91dTIGRy77L._AC_UY654_QL65_ML3_.jpg,4.3,1435,$319.99,True,,,False
Element ELEFW328R 32in 720p HDTV (Renewed),https://amazon.com/Element-ELEFW328R-32in-720p-Renewed/dp/B01HQS8UZA/ref=sr_1_9?dchild=1&keywords=hd+tv&qid=1585364494&sr=8-9,https://m.media-amazon.com/images/I/811qmmSmiNL._AC_UY654_QL65_ML3_.jpg,4.2,1199,$88.00,True,,,False
"Samsung UN75RU8000FXZA Flat 75-Inch 4K 8 Series Ultra HD Smart TV with HDR and Alexa Compatibility (2019 Model), Gray",https://amazon.com/Samsung-UN75RU8000FXZA-Flat-UHD-Smart/dp/B07NC9Q1VJ/ref=sr_1_10?dchild=1&keywords=hd+tv&qid=1585364494&sr=8-10,https://m.media-amazon.com/images/I/71ayXpGfO8L._AC_UY654_QL65_ML3_.jpg,4.5,1104,,True,,,False
"Fire TV Stick 4K streaming device with Alexa built in, Ultra HD, Dolby Vision, includes the Alexa Voice Remote",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02115813BSFHFBK3ZW1Q&url=%2FFire-TV-Stick-4K-with-Alexa-Voice-Remote%2Fdp%2FB079QHML21%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dhd%2Btv%26qid%3D1585364494%26sr%3D8-11-spons%26psc%3D1&qualifier=1585364494&id=7491218165384443&widgetName=sp_mtf,https://m.media-amazon.com/images/I/51CgKGfMelL._AC_UY654_QL65_ML3_.jpg,4.6,183750,$49.99,True,,,False
Echo Show 8 - stay connected and in touch with Alexa  - Charcoal,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_2?ie=UTF8&adId=A02869872FRMTZ1J98K5I&url=%2FEcho-Show-8%2Fdp%2FB07PF1Y28C%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dhd%2Btv%26qid%3D1585364494%26sr%3D8-12-spons%26psc%3D1&qualifier=1585364494&id=7491218165384443&widgetName=sp_mtf,https://m.media-amazon.com/images/I/51YBNqnnCyL._AC_UY654_QL65_ML3_.jpg,4.6,26004,$129.99,True,,,False
Samsung UN55RU7300FXZA Curved 55-Inch 4K UHD 7 Series Ultra HD Smart TV with HDR and Alexa Compatibility (2019 Model),https://amazon.com/Samsung-UN55RU7300FXZA-CURVED-UHD-Smart/dp/B07NC925FR/ref=sr_1_13?dchild=1&keywords=hd+tv&qid=1585364494&sr=8-13,https://m.media-amazon.com/images/I/81lSBzmSZYL._AC_UY654_QL65_ML3_.jpg,4.6,1281,,True,,,False
