title,url,img_ref,star_count,review_count,price,is_free_shipping,shipping_price,limited_stock,additional_buy_options
OTS NCAA Toddler Cinch All-Star Adjustable Hat,https://amazon.com/NCAA-Cinch-All-Star-Adjustable-Toddler/dp/B071L479TX/ref=sr_1_1?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-1,https://m.media-amazon.com/images/I/81PanMkOqnL._AC_UL960_QL65_ML3_.jpg,4.8,83,$14.15,True,,,False
Top of the World NCAA Relaxed Fit Adjustable Mesh Offroad Hat Team Color Icon,https://amazon.com/Top-World-Official-Adjustable-Offroad/dp/B071YM278G/ref=sr_1_2?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-2,https://m.media-amazon.com/images/I/91t1Q0K-qUL._AC_UL960_QL65_ML3_.jpg,4.7,941,$18.39,True,,,False
Top of the World NCAA Relaxed Fit Adjustable Hat Team Color Primary Icon,https://amazon.com/Adjustable-Cotton-Crew-Hat-Cap/dp/B007GLXVYS/ref=sr_1_3?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-3,https://m.media-amazon.com/images/I/81jHqyktQVL._AC_UL960_QL65_ML3_.jpg,4.7,428,$19.99,True,,,False
Top of the World NCAA Men's Hat Adjustable Vintage Team Icon,https://amazon.com/Top-World-Nittany-Vintage-Adjustable/dp/B07H3YYLJG/ref=sr_1_4?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-4,https://m.media-amazon.com/images/I/915CP+66a-L._AC_UL960_QL65_ML3_.jpg,4.7,480,$19.93,True,,,False
"NCAA '47 Clean Up Adjustable Hat, One Size Fits All",https://amazon.com/Wisconsin-Badgers-47-Brand-Adjustable/dp/B00K2UV03Y/ref=sr_1_5?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-5,https://m.media-amazon.com/images/I/917WTUBB+1L._AC_UL960_QL65_ML3_.jpg,4.6,486,$24.95,False,$4.95,,False
The Game Georgetown Hoyas Adult Gameday Bar Adjustable Hat - White,https://amazon.com/Georgetown-Unisex-Game-Design-Adjustable/dp/B01LYSLDJW/ref=sr_1_6?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-6,https://m.media-amazon.com/images/I/61pkIAkt15L._AC_UL960_QL65_ML3_.jpg,5.0,4,$17.99,True,,,False
Zephyr Adult NCAA All-American Relaxed Adjustable Hat,https://amazon.com/Zephyr-All-American-Relaxed-Adjustable-Temple/dp/B07SG6WSG5/ref=sr_1_7?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-7,https://m.media-amazon.com/images/I/61akKbniGwL._AC_UL960_QL65_ML3_.jpg,4.8,26,$21.95,True,,,False
"NCAA Fordham Rams Unisex NCAA The Game bar Design Hat, White, Adjustable",https://amazon.com/Fordham-Unisex-Game-Design-Adjustable/dp/B01LXHR2HN/ref=sr_1_8?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-8,https://m.media-amazon.com/images/I/61piWOFmw7L._AC_UL960_QL65_ML3_.jpg,4.2,4,$17.92,True,,,False
"The Game NCAA Stanford Cardinal Unisex NCAA bar Design Hat, White, Adjustable",https://amazon.com/Game-Stanford-Cardinal-Unisex-Adjustable/dp/B01LZRUD43/ref=sr_1_9?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-9,https://m.media-amazon.com/images/I/61aX3p7PxVL._AC_UL960_QL65_ML3_.jpg,5.0,5,$17.99,True,,,False
"Virginia Cavaliers Adult Game Bar Adjustable Hat - White,",https://amazon.com/Game-Virginia-Cavaliers-Unisex-Adjustable/dp/B01M1GI0ET/ref=sr_1_10?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-10,https://m.media-amazon.com/images/I/61ycSZBpxEL._AC_UL960_QL65_ML3_.jpg,4.1,5,$17.99,True,,,False
